Timestamp,Username,"Basic Information:
1.  Name of Student :",2. Gender of Student," 3.  Age Group of Student
",4. Name of Institute where you are Studying.,5. Please specify your residential area.,"Academic Performance: (Educational Information)
6. 10th percentage",7. 12th percentage Or Diploma Percent,8. Aggregate CGPA till current semester,9. Do you have any current backlog subjects?,10. Have You attended nursery school?,11. Specify the reason of choosing this College ,12. Which course of Engineering you are Pursuing Currently (Branch of Engineering),13. Specify the reason of choosing this course.,"Personal Background:
14. What is the status of   student’s  Mother Education(Mother is Educated or not if yes plz  specify in answer)",15. What is the Job Status of   student’s   Mother?,16. What is the status of   student’s  Father Education( Father Educated or not if yes plz  specify in answer),17. What is the Job Status of   student’s   Father ?,18. Who is student's Current Guardian?,19. What is Size of your family,20. What is your parental relationship Status,21. Rate the quality of family relationships (as 1 marks  for very  Happy and Healthy and 5 is the mark if you    think the relationship of family is  is poor,22. What is your family income?,"Study Habits and Resources:
23. Do you have internet access at home? (Yes/No)",24. What is your mode of transport?,25. How much Travel time is required for your daily commute from home(your staying place) and college.,26. Specify your approximate daily study time?,"Extracurricular Activities:
27. Does your institute provide any extracurricular courses?",28. Have you participated in any workshops or seminars?,29. Do you participate in any community service or volunteering activities? ,"30. Rate your communication skills (1 for excellent, 5 for poor)","31. Rate your leadership qualities (1 for excellent, 5 for poor)","32. Rate your teamwork skills (1 for excellent, 5 for poor)","Internships and Projects:
33. Have you completed any internships till today?",34. Whether these internship were paid or free?,35. Have you completed any Projects Successfully  till today?,"Peer Influence:
36. Rate the quality of your peer group (1 for very positive, 5 for very negative)","Time Management:
37. How well do you manage your time? (1 for excellent, 5 for poor)","Mental Health:
38. What is the status of your current health?(1 for very good 5 for Bad)","39. How often do you feel stressed? (1 for never, 5 for always)",40. Do you have any coping mechanisms for stress? ,"Additional Interests:
41. What are your hobbies and interests?","42. How often do you go out with friends? (1 for never, 5 for very frequently)?",43. Do You have any  romantic relationship ?,"Family Support and Motivation:
44. Does your family motivate you to attend any extra or syllabus-related classes? ",45. Are you attending any other paid classes? ,"Future Aspirations:
46. Are you placed? (Mention Name of Employer if Yes)",47. Are you interested in higher education?,"Substance Use:
48. Do you consume alcohol?",49. Do you Smoke?,50. Do You have any other Addictions?
2024/07/15 10:46:42 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS,URBAN,90,69,7,NO,YES,Course preference,Computer engineering ,Your preference,UG,Teacher,UG,Any Other,Mother,Less or equal to 4,Living together,5,2.5 Lakh to 8 Lakh,Yes,Public Transport,30 min to 1 hour,30 min to 1 hour,YES,Yes,No,3,2,4,No,,No,5,3,5,2,Yes,"Cooking food, any sports ",4,No,Sometimes,No,No,Yes,No,No,No
2024/07/15 10:46:54 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,"All india shree Shivaji memorial society's college of engineering,pune",RURAL,90,92,8.2,YES,YES,Course preference,Computer engineering ,Your preference,UG,Housewife,PG,Teacher,Father,Greater than 4,Living together,2,2.5 Lakh to 8 Lakh,Yes,Public Transport,15 min,1 hour - 4 hour,YES,Yes,No,2,3,1,Yes,,Yes,1,1,1,3,Yes,Listen music,3,Yes,Yes,No,No,No,No,No,No
2024/07/15 10:47:17 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS College of engineering ,URBAN,91.00%,91.67%,9.45,NO,NO,Course preference,Computer Engineering ,Your preference,Highschool,Housewife,High School,Farmer,Father,Greater than 4,Living Apart,5,2.5 Lakh to 8 Lakh,Yes,Any Other,1 hour - 4 hour,1 hour - 4 hour,No,Yes,Yes,2,1,1,No,,Yes,1,1,3,3,No,Reading ,5,No,No,No,Get a get placement in good company ,No,No,No,No
2024/07/15 10:47:17 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS College of Engineering,URBAN,88.20%,Diploma: 90%,7.93,NO,NO,Course preference,Computer Engineering,Your preference,PG,Housewife,UG,Industrial Job,Father,Less or equal to 4,Living together,5,Less than 2.5 Lakh,Yes,Public Transport,30 min to 1 hour,1 hour - 4 hour,YES,Yes,No,4,4,5,No,,Yes,1,4,5,4,No,Beatboxing,2,No,Sometimes,No,Not yet,No,No,No,No
2024/07/15 10:47:18 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,"Aissms,coe pune",URBAN,97,95,9.11,NO,YES,Course preference,Computer engineering ,Your preference,School,Housewife,High School,Farmer,Father,Less or equal to 4,Living together,3,Less than 2.5 Lakh,Yes,Public Transport,30 min to 1 hour,30 min to 1 hour,YES,No,No,4,5,3,No,,Yes,3,4,3,3,No,Chess ,1,No,Sometimes,No,No,Yes,No,No,No
2024/07/15 10:47:30 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS COE PUNE ,URBAN,93%,75%,8.27,NO,YES,Reputation of College,Computer Engineering ,Your preference,PG,Teacher,UG,Industrial Job,Father,Greater than 4,Living together,1,More than  15 Lakh,Yes,Private car/Bike,15 to 30 min,15 to 30 min,YES,Yes,No,2,1,2,No,,Yes,2,2,2,3,Yes,Interests : Working out at the gym.,5,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:47:37 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms coe Pune,RURAL,86,63,9,NO,YES,Reputation of College,Computer Engineering ,Your preference,UG,Housewife,UG,Farmer,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,30 min to 1 hour,1 hour - 4 hour,YES,No,No,3,3,2,No,,No,1,2,2,2,No,Watching movies,3,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:47:39 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms college of engineering ,URBAN,89,80,7.93,NO,YES,Family pressure,Computer engineering ,Any other,Highschool,Housewife,High School,Industrial Job,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,30 min to 1 hour,30 min to 1 hour,No,No,No,5,5,5,No,,No,1,3,3,3,No,Sports ,1,No,No,No,No,Yes,No,No,No
2024/07/15 10:48:05 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms college of engineering pune ,URBAN,96.2,83,8.14,NO,YES,Reputation of College,Computer engineering ,Your preference,UG,Industrial Job,High School,Industrial Job,Father,Greater than 4,Living together,2,2.5 Lakh to 8 Lakh,Yes,Public Transport,15 min,1 hour - 4 hour,YES,Yes,Yes,2,2,1,No,,No,2,2,2,2,No,Cricket ,3,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:48:15 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE ,URBAN,93.20%,90%,9,NO,YES,Close to home,Computer Engineering ,Your preference,Highschool,Any other,UG,Industrial Job,Mother,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,1 hour - 4 hour,30 min to 1 hour,No,Yes,Yes,2,2,1,No,,Yes,1,1,2,3,Yes,"Art, study related astronomy, travelling ",4,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:48:16 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS COE,URBAN,90,75,7.7,NO,YES,Course preference,Computer Engineering ,Your preference,UG,Housewife,PG,Industrial Job,Father,Less or equal to 4,Living together,4,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,15 to 30 min,30 min to 1 hour,YES,Yes,No,3,2,2,No,,Yes,2,2,3,2,Yes,"Cars, automobiles, sports",5,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:48:18 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS COE,URBAN,96,79,9.73,NO,YES,Course preference,Computer Engineering,Your preference,School,Housewife,High School,Any Other,Any other,Less or equal to 4,Living Apart,1,Less than 2.5 Lakh,Yes,Any Other,15 min,1 hour - 4 hour,YES,Yes,Yes,3,3,1,No,,Yes,1,2,1,1,Yes,"Trekking, traveling and interested in learning geography and current affairs",5,No,Yes,No,No,No,No,No,No
2024/07/15 10:48:22 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE PUNE,URBAN,91%,80%,8.89,NO,YES,Course preference,Computer Engineering ,Your preference,School,Housewife,High School,Any Other,Any other,Greater than 4,Living together,1,Less than 2.5 Lakh,No,Public Transport,1 hour - 4 hour,30 min to 1 hour,YES,No,No,3,4,2,Yes,,No,3,1,2,5,No,Singing and listening eng poetries,3,Yes,No,No,No,Yes,No,No,No
2024/07/15 10:48:24 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS COE PUNE,URBAN,92.6,84.83,9.11,NO,NO,Reputation of College,COMPUTER ENGINEERING,Your preference,School,Housewife,UG,Teacher,Father,Greater than 4,Living together,1,2.5 Lakh to 8 Lakh,No,Public Transport,1 hour - 4 hour,30 min to 1 hour,YES,Yes,Yes,2,2,1,No,,Yes,1,1,1,2,Yes,"competitive gaming (ESPORTS) , music ",5,No,Yes,No,No,No,No,No,No
2024/07/15 10:48:50 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,All india shree shivaji memorial society ,RURAL,94.2,89.44,8.9,NO,YES,Course preference,Computer engineering ,Your preference,UG,Housewife,UG,Teacher,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Private car/Bike,15 min,1 hour - 4 hour,YES,Yes,Yes,3,3,3,No,,Yes,3,2,1,3,No,"Gaming, bike riding, swimming ",3,No,Yes,No,No,No,No,No,No
2024/07/15 10:49:03 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,"AISSMS COE, Pune",RURAL,93.4,72,8.78,NO,NO,Course preference,Computer Engineering ,Your preference,School,Housewife,UG,Farmer,Any other,Less or equal to 4,Living together,5,Less than 2.5 Lakh,Yes,Public Transport,30 min to 1 hour,30 min to 1 hour,No,Yes,Yes,2,2,2,No,,Yes,1,2,1,2,No,Bike riding and trekking ,3,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:49:26 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE,URBAN,94.8,-,8.84,NO,YES,Family pressure,Computer,Family pressure,PG,Housewife,PG,Any Other,Any other,Less or equal to 4,Living together,2,2.5 Lakh to 8 Lakh,Yes,Public Transport,1 hour - 4 hour,30 min to 1 hour,YES,Yes,No,2,1,1,Yes,,Yes,2,3,3,3,No,"Painting, crocheting, reading",4,No,Yes,Yes,No,No,No,No,No
2024/07/15 10:49:54 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS College of engineering ,URBAN,95.4,78.17,8.98,NO,YES,Course preference,Computer engineering ,Your preference,PG,Housewife,UG,Industrial Job,Mother,Less or equal to 4,Living together,2,2.5 Lakh to 8 Lakh,Yes,Public Transport,1 hour - 4 hour,1 hour - 4 hour,YES,Yes,No,3,4,1,No,,Yes,1,3,2,3,Yes,Painting,3,No,Yes,No,No,No,No,No,No
2024/07/15 10:50:43 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,"Aissms College of Engineering Pune, Maharashtra ",URBAN,89%,I did Diploma in Computer Engineering and scored 90.17%,8.73,NO,YES,Reputation of College,Computer Engineering ,Your preference,PG,Teacher,PG,Any Other,Any other,Less or equal to 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,15 to 30 min,1 hour - 4 hour,YES,Yes,Yes,1,1,1,Yes,,Yes,1,1,1,2,Yes,"My hobby is to travel new places which are covered by Nature, Cooking new dishes, learning various languages, solving puzzles, writing diary regularly, playing badminton, etc ",5,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:51:00 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,"AISSMS College of Engineering,Pune",URBAN,93.40%,Diploma - 89.38 %,8.34,NO,NO,Course preference,Computer Engineering ,Your preference,School,Housewife,High School,Any Other,Father,Less or equal to 4,Living together,4,Less than 2.5 Lakh,No,Public Transport,1 hour - 4 hour,30 min to 1 hour,YES,Yes,No,3,5,4,No,,Yes,4,4,2,4,Yes,"Drawing, playing outdoor games",3,No,No,No,No ,Yes,No,No,No
2024/07/15 10:51:02 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS college of engineering,URBAN,90.80%,75%,8.13,NO,YES,Reputation of College,Computer Enginnering,Your preference,UG,Housewife,UG,Business,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,15 min,1 hour - 4 hour,YES,Yes,Yes,2,3,1,No,,No,1,2,1,2,Yes,"Table tennis ,Swimming ",1,No,Yes,Yes,No,Yes,No,No,No
2024/07/15 10:51:07 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,All India Shri Shivaji Memorial Society College of Engineering ,URBAN,82%,70%,7.5,NO,YES,Course preference,Computer Engineering ,Your preference,UG,Housewife,UG,Business,Father,Greater than 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Public Transport,30 min to 1 hour,1 hour - 4 hour,YES,Yes,Yes,2,3,1,No,,No,2,2,2,3,Yes,"Football, Swimming ",4,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:51:54 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE PUNE,URBAN,89.20%,85.20%,8.54,NO,YES,Course preference,Computer Engineering,Your preference,UG,Housewife,UG,Business,Father,Greater than 4,Living together,4,Less than 2.5 Lakh,Yes,Public Transport,30 min to 1 hour,15 to 30 min,YES,Yes,Yes,2,3,3,Yes,,Yes,3,4,4,4,Yes,I like to write poetry and sometimes sing,5,No,Yes,No,Any employer as long as they are paying me what deserve and dont put me in unwanted work pressure ,Yes,No,No,No
2024/07/15 10:52:02 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms Coe pune,URBAN,93.5,85.3,8.6,NO,YES,Reputation of College,Computer Engineering ,Your preference,PG,Teacher,UG,Industrial Job,Father,Greater than 4,Living together,1,More than  15 Lakh,Yes,Public Transport,15 min,30 min to 1 hour,YES,Yes,Yes,2,2,1,No,,No,2,2,2,2,Yes,"Volleyball , Football ",4,No,Sometimes,No,No,No,No,No,No
2024/07/15 10:52:31 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissms Coe,URBAN,90.2,60,8.6,NO,YES,Close to home,Computer ,Any other,PG,Teacher,PG,Business,Mother,Greater than 4,Living together,2,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,15 min,1 hour - 4 hour,YES,Yes,Yes,3,3,2,No,,Yes,1,3,3,4,No,"Travelling, dancing ",5,No,Sometimes,No,No,Yes,No,No,No
2024/07/15 10:53:54 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS COE,URBAN,94.86,85.65,9,NO,YES,Course preference,Computer Engineering,Your preference,UG,Housewife,UG,Business,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,No,Public Transport,1 hour - 4 hour,30 min to 1 hour,YES,Yes,No,2,1,1,No,,No,3,3,1,3,Yes,"Calisthenics, sketching , dancing",4,No,Sometimes,No,No,Yes,No,No,No
2024/07/15 10:54:39 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE,URBAN,81,70,7.625,NO,YES,Course preference,Computer Engineering ,Your preference,UG,Housewife,UG,Business,Father,Less or equal to 4,Living Apart,1,2.5 Lakh to 8 Lakh,Yes,Public Transport,15 to 30 min,30 min to 1 hour,YES,Yes,Yes,2,1,1,No,,Yes,2,3,2,4,No,"Playing football, listening podcast ,organizing events",3,No,Yes,Yes,No,Yes,No,No,No
2024/07/15 10:55:13 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissms Coe,URBAN,95%,70%,7,NO,YES,Course preference,Computer Engineering ,Your preference,Highschool,Housewife,PG,Any Other,Father,Greater than 4,Living together,1,2.5 Lakh to 8 Lakh,No,Private car/Bike,15 min,1 hour - 4 hour,YES,Yes,No,2,3,1,No,,No,2,2,1,2,Yes,Playing badminton,4,No,Sometimes,No,No,Yes,No,No,No
2024/07/15 11:01:18 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE,URBAN,80.8,Diploma Passed ( 90.57%),9.045,NO,YES,Course preference,B.E. in Computer Engineering,Your preference,Highschool,Housewife,PG,Business,Mother,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Private car/Bike,15 to 30 min,1 hour - 4 hour,YES,Yes,Yes,2,2,2,No,,Yes,1,2,1,3,Yes,I am a professional graphic designer. Being a graphic designer is my hobby,3,No,Yes,No,No,Yes,No,No,No
2024/07/15 11:03:40 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS COE,RURAL,89,87,8.57,NO,NO,Reputation of College,Computer engineering ,Your preference,Highschool,Industrial Job,High School,Industrial Job,Father,Less or equal to 4,Living Apart,1,Less than 2.5 Lakh,No,Public Transport,1 hour - 4 hour,30 min to 1 hour,YES,Yes,Yes,2,1,1,No,,Yes,1,3,1,3,No,"Hobby - playing games , watching movies. Intrests - learning new skills",4,No,Yes,No,NO,Yes,No,No,Yes
2024/07/15 11:12:57 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS College of Engineering,URBAN,93.2,89.5,8.98,NO,YES,Course preference,Computer Engineering,Your preference,UG,Industrial Job,UG,Business,Mother,Less or equal to 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,30 min to 1 hour,30 min to 1 hour,YES,Yes,No,3,3,2,No,,Yes,1,3,1,3,Yes,"Painting, diy",4,No,Yes,No,No,Yes,No,No,No
2024/07/15 11:24:30 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms coe,URBAN,87,92.5,9.25,NO,NO,Course preference,Computer science engineering ,Any other,Highschool,Housewife,UG,Business,Mother,Less or equal to 4,Living together,5,2.5 Lakh to 8 Lakh,Yes,Public Transport,1 hour - 4 hour,30 min to 1 hour,No,No,No,2,2,1,No,,Yes,4,3,2,4,No,Walking reading ,3,No,Yes,No,No,Yes,No,No,No
2024/07/15 11:40:12 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissms coe,URBAN,87%,75%,7.6,NO,YES,Course preference,Computer engineering ,Any other,PG,Teacher,PG,Any Other,Father,Less or equal to 4,Living together,1,More than  15 Lakh,Yes,Public Transport,15 to 30 min,15 to 30 min,YES,Yes,No,3,3,2,No,,Yes,2,2,2,3,Yes,"Cooking,dancing,drawing",2,No,Yes,No,Not yet,Yes,No,No,No
2024/07/15 11:41:08 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE,URBAN,88.88%,83%,7.6,NO,YES,Reputation of College,Computer,Any other,PG,Industrial Job,UG,Business,Mother,Less or equal to 4,Living together,1,Option 3,Yes,Public Transport,30 min to 1 hour,1 hour - 4 hour,YES,Yes,No,3,3,2,No,,Yes,3,2,2,3,Yes,"Painting, reading, cooking, dancing,",2,No,Yes,No,Not yet,Yes,Yes,No,No
2024/07/15 1:36:26 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms COE,URBAN,80,83,7.3,NO,YES,Reputation of College,Computer Engineering ,Any other,UG,Housewife,PG,Industrial Job,Father,Greater than 4,Living together,5,Option 3,Yes,Public Transport,15 to 30 min,more than 4 hours,YES,No,No,3,3,5,No,,No,1,4,1,1,No,Playing Football ,5,No,Yes,Yes,Not placed yet ,Yes,No,No,No
